id,article_number,model,brand,product_description,product_description_long,buying_price,ean_code,costs,margin,dealer_margin,currency
11,OR113205,OR-19,ORCA,Orca Audio Organizer Pouch,"Carry and protect microphones, cables, bulbs, connectors and accessories",33,7290015563505,1.02,0.75,0.8,usd
12,OR113206,OR-21,ORCA,Orca Backpack with external Pockets,"Offers ultimate protection with lots of external pockets to store all kind of accessories.  
Sony PXW-Z90-4K, PXW-X70 4K, Panasonic UX-90, AC-30, CANON XF-400, XF-300& similarly sized cameras, 
internal dimensions (L X W X H) :
11.8 x 15.7 x 7.4"" / 29.97 x 39.88 x 18.8 cm",293,7290015563840,1.02,0.75,0.8,usd
13,OR113207,OR-25,ORCA,Orca Camera Backpack with external pockets,"Sony Z-280, EX-3, PMW-300, FS7K, FS5K, PANASONIC EVA-1 with lens, Blackmagic 2K, 4K, MINI URSA & similarly sized cameras,
internal dimensions (L X W X H) :
20.47 x 12.99 x 9.06"" / 52 x 33 x 23 cm",385,7290015563925,1.02,0.75,0.8,usd
14,OR113208,OR-26,ORCA,Orca Camera Backpack with Built-In Trolley,"Sony PXW-X200, FS5, PXW-Z150, HXR-NX3, PMW-100/150/200, Z-90 Panasonic: CX-350, AG-AC-130/160A, UX-90, UX180,
internal dimensions (L X W X H) :
18.89 x 11.41 x 8.26"" (48 x 29 x 21 cm)",385,7290015563352,1.02,0.75,0.8,usd
15,OR113209,OR-27,ORCA,Orca Mini Audio Bag ,"Zoom F4/F8,MixPre 3/6, Zaxcom Max, Tascam
DR701, SD302 and smaller sized mixers with up
to 2 receivers",136,7290015563628,1.02,0.75,0.8,usd
16,OR113210,OR-28,ORCA,Orca Mini Audio Bag ,"For Audio mixers: Zoom F4/ F8N, Zaxcom Maxx, SD MixPre 3/6, SD302, Tascam DR-70D, Tascam 701D, and similarly sized mixers, with up to 4 Receivers",199,7290015563512,1.02,0.75,0.8,usd
17,OR113211,OR-29,ORCA,Orca Capsules and Accessories Pouch,To carry and protect your  capsules and other small audio accessories,19,7290015563482,1.02,0.75,0.8,usd
18,OR113212,OR-30,ORCA,Orca Audio Bag with detachable front cover  ,"SD-633, SD-833, SD302, Zaxcom MAX, Sonosax SX-M32, ZOOM F8N, with up to 6 Receivers",357,7290015563093,1.02,0.75,0.8,usd
19,OR113213,OSP-1030-20*,ORCA,ORCA Detachable BLACK front panel for OR-30 & OR-272,"Creates a flatter audio bag and an extra pouch
with the original front cover",29,7290015563963,1.02,0.75,0.8,usd
20,OR113214,OSP-1030-21*,ORCA,ORCA Detachable GREY front panel for OR-30 & OR-272,"Creates a flatter audio bag and an extra pouch
with the original front cover",29,7290015563970,1.02,0.75,0.8,usd
21,OR113215,OSP-1030-22*,ORCA,ORCA Detachable BLUE front panel for OR-30 & OR-272,"Creates a flatter audio bag and an extra pouch
with the original front cover",29,7290015563987,1.02,0.75,0.8,usd
22,OR113216,OR-31,ORCA,Orca ERX-2 Pouch,For Zaxcom ERX-2 IFB,16,7290015563253,1.02,0.75,0.8,usd
23,OR113217,OR-32,ORCA,Orca Audio Bag,"SD-788 + CL8, SD-442, Nomad, Nomad +   FP-8, SD-688. SD-PREMIX 10T, SD-702 with up to 8 Receivers",366,7290015563109,1.02,0.75,0.8,usd
24,OR113218,OR-33,ORCA,Orca Audio Bag Protection Cover - Small,"For OR-27, 28, 268, 270, 272, 280, 30",26,7290015563291,1.02,0.75,0.8,usd
25,OR113219,OR-34,ORCA,Orca Audio Bag,"SD-664 + CL6, SD-788 + CL8, SD 688 + CL8, SD-PREMIX 10T, SD-702. Nomad, Nomad + FP8, ZAXCOM DEVA 24, Zaxnet with up to 10 -12 Receivers",375,7290015563116,1.02,0.75,0.8,usd
26,OR113220,OR-35,ORCA,Orca Audio Bags' Rain Cover,For All Audio Bags,75,7290015563260,1.02,0.75,0.8,usd
27,OR113221,OR-36,ORCA,Orca Audio Bag Protection Cover - Large,"For OR-32, OR-34 & OR-41 ",26,7290015563307,1.02,0.75,0.8,usd
28,OR113222,OR-37,ORCA,Orca Waist Mixer Bags Belt,Can be connected to all Orca Audio Bags,75,7290015563123,1.02,0.75,0.8,usd
29,OR113223,OR-38,ORCA,Orca Small Wireless Pouch,For LR & Small Receivers,17,7290015563277,1.02,0.75,0.8,usd
30,OR113224,OR-39,ORCA,Orca Double Wireless Pouch,To hold 2 wireless receivers,25,7290015563130,1.02,0.75,0.8,usd
31,OR113225,OR-40,ORCA,Orca Harness,For all Orca Audio Bags,173,7290015563147,1.02,0.75,0.8,usd
32,OR113226,OSP-1040-10*,ORCA,Orca Weight distribution Aluminum Bar ,For new OR-40 Harness only!,21,7290015563994,1.02,0.75,0.8,usd
33,OR113227,OR-41 ,ORCA,Orca Audio Bag ,"SD-788 + CL8, SD-442, Zaxcom Nomad + FP8 + Zaxnet with up to 12 Receivers",365,7290015563345,1.02,0.75,0.8,usd
34,OR113228,OR-42,ORCA,"Orca Cables &  Headphones Holder, pair",For all cables and headphones,20,7290015563338,1.02,0.75,0.8,usd
35,OR113229,OR-45,ORCA,Orca Boom Pole Quick Release,3/8'' female to 3/8'' male,89,7290015563154,1.02,0.75,0.8,usd
36,OR113230,OR-46,ORCA,"Orca 3/8"" Male top for OR-45","Spare 3/8"" male top to combine with OR-45 Quick-Release base",27,7290015563796,1.02,0.75,0.8,usd
37,OR113231,OR-47,ORCA,"Orca 1/4"" Male top for OR-45","Spare 1/4"" male top to combine with OR-45 Quick-Release base",27,7290015563802,1.02,0.75,0.8,usd
38,OR113232,OR-48,ORCA,Orca Audio Accessories Bag with Built In Trolley,The ORCART! For any audio mixer and its accessories,699,7290015563369,1.02,0.75,0.8,usd
39,OR113312,OR-49,ORCA,"Orca Audio Bag DISCONITNUED, out of stock","For Cantar X, DEVA 24 and similarly sized mixers with up to 8 receivers",1,7290015563413,1.02,0.75,0.8,usd
40,OR113233,OR-50,ORCA,Orca Camera Monitor Hood - 1,"Sony PMW-100/150/200, EX-1/3, NX5",15,7290015563161,1.02,0.75,0.8,usd
41,OR113234,OR-52,ORCA,Orca Camera Monitor Hood - 2,Canon C-100,15,7290015563178,1.02,0.75,0.8,usd
42,OR113235,OR-54,ORCA,Orca Camera Monitor Hood - 3,"Canon C-300 , Panasonic DVX-200",15,7290015563185,1.02,0.75,0.8,usd
43,OR113236,OR-56,ORCA,Orca Camera Monitor Hood - 4," Panasonic 160/130A, AC-90 Sony PXW-FS5, PXW-X180, PXW-X200, PXW-X70",15,7290015563192,1.02,0.75,0.8,usd
44,OR113237,OR-60,ORCA,Orca Light Case ,"For LED size up to: 45x45cm, 17.7x17.7'' or Presonus Faderport 16 Audio Mixer",189,7290015563208,1.02,0.75,0.8,usd
45,OR113238,OR-62,ORCA,"Orca Dual light bag  
","Two standard 1000 LED, 1?1 light with power supply, cables, small connectors, batteries, chargers, small spot light and up to 4 small stands",356,7290015563444,1.02,0.75,0.8,usd
46,OR113239,OR-65,ORCA,Orca Hard Shell Accessories Bag -XXS,"Internal Dimensions 7.1x4.7x1.6"" / 18x12x4cm",29,7290015563871,1.02,0.75,0.8,usd
47,OR113240,OR-66,ORCA,Orca Hard Shell Accessories Bag -XS,"Internal Dimensions 8.5x6.3x4.1"" / 21.5x10x10.5cm",87,7290015563468,1.02,0.75,0.8,usd
48,OR113241,OR-67,ORCA,Orca Hard Shell Accessories Bag -S,"Internal Dimensions 10.2x8.3x3.5"" / 25.9x21.1x8.9cm",94,7290015563499,1.02,0.75,0.8,usd
